"Record_ID","Mass_balance_pct","Merge_domain_status","Data_quality_flag","Merge_method"
"EW-0001","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0002","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0003","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0004","99.990","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0005","100.010","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0006","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0007","99.990","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0008","100.010","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0009","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0010","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0011","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0012","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0013","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0014","99.990","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0015","100.010","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0016","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0017","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0018","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0019","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0020","99.990","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0021","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0022","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0023","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0024","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0025","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0026","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0027","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0028","99.990","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0029","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0030","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0031","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0032","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0033","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0034","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0035","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0036","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0037","100.010","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0038","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0039","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0040","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0041","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0042","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0043","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0044","99.990","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0045","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0046","100.000","interpolation_400_500","prototype_synthetic_interpolated","Temperature-based linear model from second database; not a row-index join"
"EW-0047","99.990","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
"EW-0048","100.000","extrapolation_outside_400_500","prototype_synthetic_extrapolated","Temperature-based linear model from second database; not a row-index join"
