Concentration_liquide_chimique_kg,Temperature_C,Temps_reaction_min,Heating_rate_C_min,Taille_particules_mm,Solid_Yield_pct,Liquid_Yield_pct,Gas_Yield_pct,HBr_pct,Br2_pct,HCl_pct,Cl2_pct,HF_pct,Toxicity_Index_pct,Propylene_ppb,1_3_Butadiene_ppb,Chloromethane_ppb,Bromomethane_ppb,Chloroethane_ppb,n_Hexane_ppb,Vinyl_chloride_ppb,HF_gas_ppm,HCl_gas_ppm,F2_upper_bound_ppm,HBr_upper_bound_ppm,Cout_liquide_USD,Valuable_Yield_pct,VOC_Total_ppm,Halogenated_VOC_Total_ppm,Hydrocarbon_VOC_Total_ppm,Inorganic_Halogen_Upper_Total_ppm
32.57,437.95,14.5,29.55,2.21,24.44,54.65,20.91,1.7,0.08,0.2,0.08,0.02,2.09,796972.912,196363.411,134279.191,8263.5,1406.057,890.0,390.0,14.566597,1.780362,0.497505,0.116603,651.4,75.56,1138.565071,144.33874799999998,994.226323,16.961067
64.67,506.22,22.32,17.89,4.48,24.06,56.83,19.11,2.42,0.21,0.38,0.09,0.04,3.13,1053359.041,260877.834,153776.365,11054.263,1597.436,890.0,390.0,18.34417,2.242065,0.654284,0.153348,1293.4,75.94,1481.944939,166.818064,1315.126875,21.393867
36.6,393.61,26.51,18.96,2.44,25.41,56.26,18.33,1.2,0.08,0.1,0.03,0.02,1.44,630455.247,154462.584,121616.167,6450.954,1281.76,890.0,390.0,12.113138,1.480495,0.395681,0.092738,732.0,74.59,915.546712,129.738881,785.807831,14.082052
52.92,440.88,22.52,11.31,3.86,30.83,51.76,17.4,1.23,0.09,0.17,0.06,0.02,1.57,807976.447,199132.23,135115.968,8383.273,1414.271,890.0,390.0,14.728722,1.800177,0.504234,0.11818,1058.4,69.16,1153.302189,145.30351199999998,1007.998677,17.151313
66.11,575.57,28.12,9.33,1.42,24.98,60.33,14.7,4.84,0.28,0.53,0.17,0.05,5.87,1313801.081,326412.844,173581.974,13889.175,1791.843,890.0,390.0,22.181503,2.711072,0.813543,0.190674,1322.2,75.03,1830.756917,189.652992,1641.103925,25.896792
52.29,460.24,18.06,11.16,1.57,27.9,53.33,18.77,1.87,0.12,0.19,0.06,0.02,2.26,880682.401,217427.224,140644.974,9174.678,1468.542,890.0,390.0,15.799966,1.931107,0.548693,0.1286,1045.8,72.1,1250.677819,151.678194,1098.999625,18.408366
59.07,478.76,29.43,22.9,2.89,23.14,57.32,19.53,2.13,0.12,0.25,0.07,0.03,2.6,950233.757,234928.426,145934.086,9931.744,1520.459,890.0,390.0,16.82473,2.056356,0.591223,0.138568,1181.4,76.85,1343.828472,157.77628900000002,1186.052183,19.610877
45.78,408.78,19.45,18.89,0.87,26.38,55.12,18.51,1.21,0.13,0.19,0.03,0.01,1.56,687425.769,168798.072,125948.555,7071.079,1324.286,890.0,390.0,12.952537,1.583088,0.430518,0.100903,915.6,73.63,991.847761,134.73391999999998,857.113841,15.067046
30.39,388.71,12.97,22.04,3.65,30.74,53.68,15.58,1.46,0.1,0.12,0.01,0.01,1.7,612053.43,149832.136,120216.78,6250.651,1268.024,890.0,390.0,11.842007,1.447357,0.384428,0.0901,607.8,69.26,890.901021,128.125455,762.7755660000001,13.763892
30.82,363.89,22.2,22.5,2.89,31.48,53.75,14.77,0.88,0.01,0.08,0.0,0.01,0.99,518842.594,126377.501,113128.457,5236.051,1198.447,890.0,390.0,10.468646,1.279502,0.32743,0.076742,616.4,68.52,766.06305,119.952955,646.110095,12.15232
