nested_results_directory,artifact,diagnostic_model,inference_model,scope,file,type,status,description
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,model_comparison_95ci.csv,csv,generated,Métriques globales avec IC95 % entre répétitions
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,metrics_by_output_95ci.csv,csv,generated,"R², RMSE et MAE par sortie avec IC95 %"
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,diagnostic_oof_predictions.csv,csv,generated,Prédictions OOF agrégées et résidus
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,residual_summary.csv,csv,generated,Résumé des distributions de résidus
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,residual_input_associations.csv,csv,generated,Associations résidus-température/concentration
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,01_model_comparison_r2_ic95.png,png,generated,"Comparaison des modèles, R² macro et IC95 %"
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,02_r2_by_output_ic95.png,png,generated,R² par sortie et par modèle avec IC95 %
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,03_rmse_by_output_ic95.png,png,generated,RMSE par sortie et par modèle avec IC95 %
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,04_mae_by_output_ic95.png,png,generated,MAE par sortie et par modèle avec IC95 %
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,05_observed_vs_predicted_8_outputs.png,png,generated,Observé versus prédit pour les huit sorties
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,06_residual_distributions_8_outputs.png,png,generated,Distribution des résidus pour les huit sorties
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,07_residuals_vs_temperature.png,png,generated,Résidus selon la température
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,08_residuals_vs_concentration.png,png,generated,Résidus selon la concentration
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,oaat_sensitivity.csv,csv,generated,"Sensibilité un facteur à la fois, domaine 5e-95e percentile"
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,09_oaat_sensitivity_8_outputs.png,png,generated,Courbes de sensibilité OAAT des huit sorties
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,scenario_sampling.csv,csv,generated,Scénarios Latin hypercube et prédictions
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,pareto_front.csv,csv,generated,Scénarios non dominés sur trois objectifs
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,scenario_summary.csv,csv,generated,Statistiques descriptives de l'échantillonnage
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,10_scenarios_and_pareto_front.png,png,generated,Projections du front de Pareto exploratoire
C:\Users\LENOVO\Desktop\data set 2\reports\nested_repeated_validation_budget_renforce,C:\Users\LENOVO\Desktop\data set 2\artifacts\production_selected_bundle.joblib,Sélection automatique par sortie,Sélection automatique par sortie,prototype exploratoire; aucune validation industrielle,,learning_curve,not_available,"learning_curve_metrics.csv absent. Relancer la validation avec son option de courbe d'apprentissage, puis régénérer."
