model,target,metric,aggregation_unit,n_repeats,mean,std,se,ci95_low,ci95_high
Extra Trees Optuna,Br2_pct,mae,répétition OOF complète,5,0.020208800755359163,0.00011923318986545035,5.332270354265719e-05,0.020060753196112238,0.020356848314606088
Extra Trees Optuna,Br2_pct,rmse,répétition OOF complète,5,0.026078981408760204,0.00010241861552576954,4.5802997295407206e-05,0.025951811901115982,0.026206150916404426
Extra Trees Optuna,Br2_pct,r2,répétition OOF complète,5,0.8602844926793427,0.0010958754461525828,0.0004900903984940171,0.8589237835913396,0.8616452017673458
Extra Trees Optuna,Cl2_pct,mae,répétition OOF complète,5,0.01330789419696472,4.7315159091818505e-05,2.1159982419104677e-05,0.013249144667351125,0.013366643726578314
Extra Trees Optuna,Cl2_pct,rmse,répétition OOF complète,5,0.01740915045454574,4.2124115995726105e-05,1.883847737170596e-05,0.017356846456257687,0.017461454452833793
Extra Trees Optuna,Cl2_pct,r2,répétition OOF complète,5,0.830709441362308,0.0008189297317010728,0.00036623650977585264,0.829692605797396,0.8317262769272199
Extra Trees Optuna,Gas_Yield_pct,mae,répétition OOF complète,5,1.5890415917063883,0.0071767388056519265,0.0032095351652396717,1.5801304935068983,1.5979526899058782
Extra Trees Optuna,Gas_Yield_pct,rmse,répétition OOF complète,5,1.978278212640279,0.007208381819618146,0.00322368635128796,1.9693278244495525,1.9872286008310054
Extra Trees Optuna,Gas_Yield_pct,r2,répétition OOF complète,5,0.15421823319664293,0.006159312933270912,0.002754528482697477,0.14657043607372963,0.16186603031955624
Extra Trees Optuna,HBr_pct,mae,répétition OOF complète,5,0.2634455720009092,0.0016528056540337937,0.0007391571592031124,0.2613933427242678,0.26549780127755057
Extra Trees Optuna,HBr_pct,rmse,répétition OOF complète,5,0.340712275365155,0.002220244663255648,0.0009929235987441516,0.33795547749958643,0.3434690732307236
Extra Trees Optuna,HBr_pct,r2,répétition OOF complète,5,0.8852233334530808,0.0014955532073753538,0.0006688317271318262,0.8833663588780847,0.8870803080280769
Extra Trees Optuna,HCl_pct,mae,répétition OOF complète,5,0.04044304393336116,9.038803399767764e-05,4.042275767427385e-05,0.04033081236567782,0.04055527550104449
Extra Trees Optuna,HCl_pct,rmse,répétition OOF complète,5,0.05295379620929432,0.00020697002236254392,9.255980786145996e-05,0.05269680898381932,0.05321078343476932
Extra Trees Optuna,HCl_pct,r2,répétition OOF complète,5,0.8370871801040585,0.0012740524851878844,0.0005697735927565307,0.8355052350013786,0.8386691252067383
Extra Trees Optuna,HF_pct,mae,répétition OOF complète,5,0.00503643270687934,2.59371247259534e-05,1.159943480562448e-05,0.005004227512890203,0.005068637900868477
Extra Trees Optuna,HF_pct,rmse,répétition OOF complète,5,0.0064888605885171395,3.405362517594476e-05,1.5229244154742142e-05,0.006446577428127843,0.006531143748906436
Extra Trees Optuna,HF_pct,r2,répétition OOF complète,5,0.6843610235628054,0.003310449529839447,0.0014804780369606443,0.6802505575637332,0.6884714895618775
Extra Trees Optuna,Liquid_Yield_pct,mae,répétition OOF complète,5,2.4655171782263436,0.007929378710762344,0.0035461259633208487,2.4556715541530667,2.4753628022996206
Extra Trees Optuna,Liquid_Yield_pct,rmse,répétition OOF complète,5,3.080625309280681,0.011530252232094392,0.005156485557736348,3.066308610193881,3.094942008367481
Extra Trees Optuna,Liquid_Yield_pct,r2,répétition OOF complète,5,0.15155762678899842,0.0063646693069701245,0.002846366644938335,0.14365484605006112,0.15946040752793572
