model,metric,aggregation_unit,n_repeats,mean,std,se,ci95_low,ci95_high
Extra Trees Optuna,mae_normalized,répétition OOF complète,5,0.4732142744249955,0.00042652936598147617,0.0001907497313468934,0.4726846682670796,0.47374388058291134
Extra Trees Optuna,rmse_normalized,répétition OOF complète,5,0.6492057402318749,0.0005427158185155359,0.00024270989253303543,0.6485318695387685,0.6498796109249814
Extra Trees Optuna,r2_macro,répétition OOF complète,5,0.5795144767525757,0.0006200939916425296,0.00027731446355037655,0.5787445283676508,0.5802844251375007
Hybride 2 branches MLP + XGBoost Optuna,mae_normalized,répétition OOF complète,5,0.47405057400852096,0.0016542852848589135,0.0007398188702244267,0.4719965075275534,0.47610464048948853
Hybride 2 branches MLP + XGBoost Optuna,rmse_normalized,répétition OOF complète,5,0.6497035052598878,0.0024754109008057784,0.0011070374092891418,0.6466298766635962,0.6527771338561795
Hybride 2 branches MLP + XGBoost Optuna,r2_macro,répétition OOF complète,5,0.5788439389324245,0.003096967133056993,0.0013850058067196144,0.5749985463396873,0.5826893315251617
MLP Optuna,mae_normalized,répétition OOF complète,5,0.4798774518570106,0.002084973814432229,0.0009324286360754992,0.47728861493443253,0.48246628877958864
MLP Optuna,rmse_normalized,répétition OOF complète,5,0.654247273106772,0.0029308355028594938,0.0013107094830527215,0.650608160178214,0.65788638603533
MLP Optuna,r2_macro,répétition OOF complète,5,0.5728736332681177,0.003635677332205141,0.001625924331813156,0.568359343615633,0.5773879229206024
Prédicteur naïf (moyenne),mae_normalized,répétition OOF complète,5,0.8157450804187795,0.00022636018454888482,0.0001012313520101408,0.8154640171269983,0.8160261437105606
Prédicteur naïf (moyenne),rmse_normalized,répétition OOF complète,5,1.0016284657079544,9.650835986918306e-05,4.3159850612901206e-05,1.001508634751979,1.0017482966639297
Prédicteur naïf (moyenne),r2_macro,répétition OOF complète,5,-0.00136517409706124,0.0005570370684730664,0.0002491145502185963,-0.0020568269706492115,-0.0006735212234732683
Ridge polynomial Optuna,mae_normalized,répétition OOF complète,5,0.4697618710834706,0.00024077689798713086,0.00010767870226215138,0.4694629070776408,0.4700608350893004
Ridge polynomial Optuna,rmse_normalized,répétition OOF complète,5,0.6413403119754181,0.0005733466061092607,0.00025640839718582065,0.6406284081361199,0.6420522158147163
Ridge polynomial Optuna,r2_macro,répétition OOF complète,5,0.5896017867237066,0.0005163159857943418,0.0002309035284211928,0.5889606957524486,0.5902428776949645
Sélection automatique par sortie,mae_normalized,répétition OOF complète,5,0.4710196392668111,0.00041270424664141157,0.0001845669500186071,0.4705071992618507,0.47153207927177154
Sélection automatique par sortie,rmse_normalized,répétition OOF complète,5,0.6431777478603061,0.0009314885564899379,0.00041657434651493075,0.6420211520549738,0.6443343436656385
Sélection automatique par sortie,r2_macro,répétition OOF complète,5,0.5872338237939431,0.0011096901033906558,0.0004962685010280552,0.5858559615433999,0.5886116860444862
