Famille,Sortie,Essai,RMSE_CV_normalisee,Etat,Hyperparametres
Ridge polynomial Optuna,Solid_Yield_pct,1,0.9482488024618944,COMPLETE,"{""alpha"": 4033.8008326003933, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,2,0.9205161951644204,COMPLETE,"{""alpha"": 0.0017699302940633358, ""degree"": 2, ""interaction_only"": false}"
Ridge polynomial Optuna,Solid_Yield_pct,3,0.9037425296340242,COMPLETE,"{""alpha"": 849.9808989183019, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,4,0.9514489376033815,COMPLETE,"{""alpha"": 5744.851636320435, ""degree"": 2, ""interaction_only"": false}"
Ridge polynomial Optuna,Solid_Yield_pct,5,0.919955183680725,COMPLETE,"{""alpha"": 0.0029324868872723803, ""degree"": 2, ""interaction_only"": false}"
Ridge polynomial Optuna,Solid_Yield_pct,6,0.8676100417422971,COMPLETE,"{""alpha"": 1.5777981883365035, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,7,0.8710176961797153,COMPLETE,"{""alpha"": 0.02137140731637301, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,8,0.9113185676413057,COMPLETE,"{""alpha"": 0.08528933855762823, ""degree"": 2, ""interaction_only"": true}"
Ridge polynomial Optuna,Solid_Yield_pct,9,0.8716779093778714,COMPLETE,"{""alpha"": 191.16469627784303, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,10,0.8677820947619359,COMPLETE,"{""alpha"": 1.2997969313168272, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,11,0.9221347718688604,COMPLETE,"{""alpha"": 0.00011491548505141244, ""degree"": 2, ""interaction_only"": true}"
Ridge polynomial Optuna,Solid_Yield_pct,12,0.8668860729347925,COMPLETE,"{""alpha"": 3.4703163618886914, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,13,0.8655235731670364,COMPLETE,"{""alpha"": 9.970698123570347, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,14,0.865469279216818,COMPLETE,"{""alpha"": 10.353070210856437, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,15,0.8646490176556183,COMPLETE,"{""alpha"": 54.10284187479002, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,16,0.8647449373798771,COMPLETE,"{""alpha"": 57.72167884195828, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,17,0.8650744057257544,COMPLETE,"{""alpha"": 68.0989609916682, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,18,0.865521616772799,COMPLETE,"{""alpha"": 79.50259625615243, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,19,0.8700328779761177,COMPLETE,"{""alpha"": 0.1618849905458632, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,20,0.8963319048961678,COMPLETE,"{""alpha"": 653.4611052533896, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,21,0.8806990921047154,COMPLETE,"{""alpha"": 25.933909567325717, ""degree"": 2, ""interaction_only"": true}"
Ridge polynomial Optuna,Solid_Yield_pct,22,0.8667627382589167,COMPLETE,"{""alpha"": 106.11948952931587, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,23,0.8933815011670845,COMPLETE,"{""alpha"": 585.4124947018355, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,24,0.8644052166493337,COMPLETE,"{""alpha"": 40.10349028386352, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,25,0.8688728731864804,COMPLETE,"{""alpha"": 0.4716612926577614, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,26,0.8647290847644011,COMPLETE,"{""alpha"": 19.11412534284714, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,27,0.8650524170443766,COMPLETE,"{""alpha"": 14.36777380369279, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,28,0.866655618600592,COMPLETE,"{""alpha"": 4.224633660774393, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,29,0.8788535505345729,COMPLETE,"{""alpha"": 308.0663827099802, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,30,0.924330544613764,COMPLETE,"{""alpha"": 1706.2146140782247, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,31,0.93201874608107,COMPLETE,"{""alpha"": 2225.0735829331124, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,32,0.8643782414324932,COMPLETE,"{""alpha"": 33.995569865049816, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,33,0.8644241246846793,COMPLETE,"{""alpha"": 28.439680420726766, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,34,0.8644414864849163,COMPLETE,"{""alpha"": 27.28669076992054, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,35,0.8666457291684203,COMPLETE,"{""alpha"": 4.255043711407923, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,36,0.9602733324359726,COMPLETE,"{""alpha"": 6578.57340144134, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,37,0.8736562236264961,COMPLETE,"{""alpha"": 223.11673454597204, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,38,0.9002170105745952,COMPLETE,"{""alpha"": 0.6646697598010682, ""degree"": 2, ""interaction_only"": false}"
Ridge polynomial Optuna,Solid_Yield_pct,39,0.8643791912967862,COMPLETE,"{""alpha"": 35.53912535264598, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,40,0.8660814633834202,COMPLETE,"{""alpha"": 6.42616367734066, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,41,0.8673679348280778,COMPLETE,"{""alpha"": 2.001775560413872, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,42,0.8643788368323669,COMPLETE,"{""alpha"": 33.51789128018018, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,43,0.864406464622235,COMPLETE,"{""alpha"": 29.96099781210944, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,44,0.8714399911305932,COMPLETE,"{""alpha"": 187.2972851647718, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,45,0.8899405599070184,COMPLETE,"{""alpha"": 511.9987088080266, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,46,0.9271485642411106,COMPLETE,"{""alpha"": 1879.1016965893223, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,47,0.8690627589205702,COMPLETE,"{""alpha"": 147.8325070402471, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,48,0.8644381989919321,COMPLETE,"{""alpha"": 43.196179505105434, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,49,0.8711618933484461,COMPLETE,"{""alpha"": 0.006713201506744596, ""degree"": 1}"
Ridge polynomial Optuna,Solid_Yield_pct,50,0.9220547774745261,COMPLETE,"{""alpha"": 0.0003062226456375338, ""degree"": 2, ""interaction_only"": true}"
Ridge polynomial Optuna,Liquid_Yield_pct,1,0.9137435247242951,COMPLETE,"{""alpha"": 7.45645350658851, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,2,0.9199146343991778,COMPLETE,"{""alpha"": 0.008408469626163215, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,3,0.9368111959818602,COMPLETE,"{""alpha"": 746.6205298916575, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,4,0.9315601762094591,COMPLETE,"{""alpha"": 74.12869766248274, ""degree"": 2, ""interaction_only"": false}"
Ridge polynomial Optuna,Liquid_Yield_pct,5,0.9215257897614227,COMPLETE,"{""alpha"": 260.8416561734611, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,6,0.920042658045752,COMPLETE,"{""alpha"": 0.00028515401653038847, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,7,0.9891000174766468,COMPLETE,"{""alpha"": 0.033788722194360056, ""degree"": 2, ""interaction_only"": true}"
Ridge polynomial Optuna,Liquid_Yield_pct,8,0.9319240040004079,COMPLETE,"{""alpha"": 556.9260775925086, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,9,0.9634358906732181,COMPLETE,"{""alpha"": 4324.192317571502, ""degree"": 2, ""interaction_only"": false}"
Ridge polynomial Optuna,Liquid_Yield_pct,10,0.9129798003313339,COMPLETE,"{""alpha"": 22.792775546329416, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,11,0.9531369749862696,COMPLETE,"{""alpha"": 1.2503104450410565, ""degree"": 2, ""interaction_only"": true}"
Ridge polynomial Optuna,Liquid_Yield_pct,12,0.9137655720206028,COMPLETE,"{""alpha"": 7.289767190875161, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,13,0.9150830764736557,COMPLETE,"{""alpha"": 1.595570649339134, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,14,0.9131461364676354,COMPLETE,"{""alpha"": 14.98740098675162, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,15,0.918808128367251,COMPLETE,"{""alpha"": 0.08213863316185492, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,16,0.9129565459195081,COMPLETE,"{""alpha"": 27.59375412347819, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,17,0.917071270621715,COMPLETE,"{""alpha"": 0.42036732020313594, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,18,0.9696830360662562,COMPLETE,"{""alpha"": 6735.827093654406, ""degree"": 2, ""interaction_only"": false}"
Ridge polynomial Optuna,Liquid_Yield_pct,19,0.9132754830705236,COMPLETE,"{""alpha"": 51.63543843657419, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,20,0.9200347424094462,COMPLETE,"{""alpha"": 0.0007769799893139208, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,21,0.931212892741744,COMPLETE,"{""alpha"": 52.859785291220014, ""degree"": 2, ""interaction_only"": true}"
Ridge polynomial Optuna,Liquid_Yield_pct,22,0.9132068821874032,COMPLETE,"{""alpha"": 13.478001540143136, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,23,0.9156532738222485,COMPLETE,"{""alpha"": 0.819015483770884, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,24,0.9134443795421422,COMPLETE,"{""alpha"": 10.234129751843867, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,25,0.9169108491893734,COMPLETE,"{""alpha"": 152.30681355909388, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,26,0.9499847360404745,COMPLETE,"{""alpha"": 1602.6984283814515, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,27,0.9183759583004345,COMPLETE,"{""alpha"": 0.1653664751809745, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,28,0.9146009017888538,COMPLETE,"{""alpha"": 2.7258613229418613, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,29,0.9129573760888665,COMPLETE,"{""alpha"": 26.825785075193973, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,30,0.9143745898086525,COMPLETE,"{""alpha"": 3.8910114809358496, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,31,0.9129567990442086,COMPLETE,"{""alpha"": 27.24597389508766, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,32,0.9129538953680708,COMPLETE,"{""alpha"": 28.098153541776636, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,33,0.9178436171564867,COMPLETE,"{""alpha"": 174.17734960124233, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,34,0.9129898252332588,COMPLETE,"{""alpha"": 33.2993424977591, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,35,0.9332849637971756,COMPLETE,"{""alpha"": 605.4113218095632, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,36,0.9160674928285234,COMPLETE,"{""alpha"": 132.14059220566787, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,37,0.9140551964307926,COMPLETE,"{""alpha"": 5.499007317147109, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,38,0.9534557848792244,COMPLETE,"{""alpha"": 1973.121604496731, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,39,0.9231077138905815,COMPLETE,"{""alpha"": 299.71091379890106, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,40,0.9199705216149845,COMPLETE,"{""alpha"": 0.004817584127636462, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,41,0.9136531295917413,COMPLETE,"{""alpha"": 66.59276456153789, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,42,0.9130120388731455,COMPLETE,"{""alpha"": 20.290307863197093, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,43,0.9129683197559894,COMPLETE,"{""alpha"": 24.188793746995497, ""degree"": 1}"
Ridge polynomial Optuna,Liquid_Yield_pct,44,0.9144571887143883,COMPLETE,"{""alpha"": 3.211280979103081, ""degree"": 1}"
