Modèle,Jeu,MAE normalisée,RMSE normalisé,R² macro,Temps entraînement (s),Post-traitement physique
Ridge polynomial Optuna,Validation,0.4440198948513826,0.6045527673789444,0.6342362716329205,346.710769303143,Non
Extra Trees Optuna,Validation,0.4546640463095557,0.6202813199007979,0.615513100132048,4180.268515301868,Non
MLP Optuna,Validation,0.451980902049137,0.6141754586545354,0.6217367804800171,10499.309803102165,Non
Hybride 2 branches MLP + XGBoost Optuna,Validation,0.45098873960343383,0.6134424508506512,0.6240221326820676,11345.476459698752,Non
Baseline moyenne (référence),Validation,0.784049357738455,0.9731513639735406,-0.00233562786230751,0.0,Non
Ridge polynomial Optuna,Test,0.48838278034968413,0.6626999446974388,0.5900806016709796,346.710769303143,Non
Extra Trees Optuna,Test,0.48436829321769437,0.668541736216789,0.5836036840381231,4180.268515301868,Non
MLP Optuna,Test,0.5019600506262097,0.683527539106778,0.5641418394651845,10499.309803102165,Non
Hybride 2 branches MLP + XGBoost Optuna,Test,0.4913062219376391,0.669979497186128,0.5818218955071071,11345.476459698752,Non
Baseline moyenne (référence),Test,0.8307741655503986,1.0211648593319789,-0.003483228506981434,0.0,Non
Sélection automatique par sortie,Validation,0.4421857426449181,0.6031749155428582,0.6361037613928533,26371.76554740593,Oui
Sélection automatique par sortie,Test,0.4901027123648731,0.665114628976006,0.5869731629447532,26371.76554740593,Oui
