Modèle,Jeu,Sortie,MAE,RMSE,R²,Temps entraînement (s),Post-traitement physique
Ridge polynomial Optuna,Validation,Solid_Yield_pct,2.6885564537297864,3.3261239738500357,0.3974151075791911,43.90283810161054,Non
Ridge polynomial Optuna,Validation,Liquid_Yield_pct,2.091793582445612,2.702898320565507,0.34672175419030427,43.7534887008369,Non
Ridge polynomial Optuna,Validation,Gas_Yield_pct,1.6249577061137002,1.974359479750096,0.2246801874004638,43.242252599447966,Non
Ridge polynomial Optuna,Validation,HBr_pct,0.2160879776752704,0.28163985897295446,0.9125629268154561,44.280262500047684,Non
Ridge polynomial Optuna,Validation,Br2_pct,0.01902491554249994,0.023863622243906354,0.8740094012779179,43.054511699825525,Non
Ridge polynomial Optuna,Validation,HCl_pct,0.04120725443450104,0.05223478369693557,0.811831939590747,42.70159360021353,Non
Ridge polynomial Optuna,Validation,Cl2_pct,0.012164863294945703,0.015293142911006705,0.8641842116928325,43.253209199756384,Non
Ridge polynomial Optuna,Validation,HF_pct,0.004956177636036978,0.006114066205837148,0.6424846445164512,42.5226129014045,Non
Extra Trees Optuna,Validation,Solid_Yield_pct,2.812596273897713,3.4528715082337325,0.3506150660662828,494.01694650016725,Non
Extra Trees Optuna,Validation,Liquid_Yield_pct,2.215103040281437,2.855696226507802,0.2707729082608481,441.196365499869,Non
Extra Trees Optuna,Validation,Gas_Yield_pct,1.6615117988730561,1.986422184047721,0.21517733446980003,637.9624467007816,Non
Extra Trees Optuna,Validation,HBr_pct,0.22479372629961475,0.2961364262540666,0.9033301515758025,488.58110830001533,Non
Extra Trees Optuna,Validation,Br2_pct,0.01894742287894385,0.0241545018505698,0.8709192206016912,452.83839840069413,Non
Extra Trees Optuna,Validation,HCl_pct,0.03979769540832229,0.05172528828886385,0.8154848006428829,484.4552899003029,Non
Extra Trees Optuna,Validation,Cl2_pct,0.012584038153817291,0.015644585522672085,0.8578702839793495,643.8985788989812,Non
Extra Trees Optuna,Validation,HF_pct,0.004887333896991752,0.006135828606824914,0.6399350354597267,537.3193811010569,Non
MLP Optuna,Validation,Solid_Yield_pct,2.7208268069949675,3.3324354882784073,0.3951260578072434,570.0596524998546,Non
MLP Optuna,Validation,Liquid_Yield_pct,2.151669019428798,2.7941548117031525,0.30186452125703456,985.7055472992361,Non
MLP Optuna,Validation,Gas_Yield_pct,1.6195186482323212,1.9712180107584416,0.22714549876698276,1234.4753761012107,Non
MLP Optuna,Validation,HBr_pct,0.2283980513779198,0.3019976807072736,0.8994656230372409,1828.8237568996847,Non
MLP Optuna,Validation,Br2_pct,0.019485970179370454,0.024864553534772127,0.8632186960761712,1937.5861499998719,Non
MLP Optuna,Validation,HCl_pct,0.04101898164821823,0.0520390253730814,0.8132396774262813,1271.254323700443,Non
MLP Optuna,Validation,Cl2_pct,0.012991179592393794,0.016186726365842778,0.8478489986047538,1295.0007117018104,Non
MLP Optuna,Validation,HF_pct,0.004998324513523891,0.006253558229873241,0.6259851708644284,1376.4042849000543,Non
Hybride 2 branches MLP + XGBoost Optuna,Validation,Solid_Yield_pct,2.793005220706975,3.3839952985164343,0.3762639063387273,1092.6487408988178,Non
Hybride 2 branches MLP + XGBoost Optuna,Validation,Liquid_Yield_pct,2.1726212637428244,2.7810003465579363,0.3084224838115217,887.5697696991265,Non
Hybride 2 branches MLP + XGBoost Optuna,Validation,Gas_Yield_pct,1.6378173352431404,1.9974881645014257,0.20640878252619022,2200.3937922008336,Non
Hybride 2 branches MLP + XGBoost Optuna,Validation,HBr_pct,0.21646374969927834,0.28697198540084845,0.9092207939148709,2097.3347695004195,Non
Hybride 2 branches MLP + XGBoost Optuna,Validation,Br2_pct,0.0195848720907195,0.024644695128033828,0.8656269086554451,1962.875526400283,Non
Hybride 2 branches MLP + XGBoost Optuna,Validation,HCl_pct,0.040130875448291775,0.05097582471067946,0.8207930582334494,1507.580580201,Non
Hybride 2 branches MLP + XGBoost Optuna,Validation,Cl2_pct,0.012453085902166592,0.015512289830504108,0.8602639103705134,734.598574899137,Non
Hybride 2 branches MLP + XGBoost Optuna,Validation,HF_pct,0.004875999322717899,0.006090999107464649,0.645177217605823,862.4747058991343,Non
